2023-11-05 13:22:52 INFO Note: NumExpr detected 24 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2023-11-05 13:22:52 INFO NumExpr defaulting to 8 threads.
2023-11-05 13:22:52 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:22:53 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:22:55 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:22:56 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:22:57 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:22:58 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:22:59 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:00 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:01 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:02 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:03 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:04 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:05 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:06 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:07 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:08 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:09 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:10 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:11 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:12 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:13 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:14 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:15 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:16 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:17 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:18 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:19 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:20 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:21 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:22 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:23 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:24 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:25 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:26 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:27 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:28 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:29 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:30 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:31 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:32 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:33 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:34 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:35 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:36 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:37 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:38 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:39 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:40 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:41 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:42 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:43 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:44 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:45 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:46 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:47 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:48 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:49 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:50 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:51 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:52 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:53 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:54 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:55 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:56 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:57 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:58 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:59 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:00 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:01 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:02 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:03 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:04 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:05 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:06 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:07 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:08 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:09 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:10 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:11 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:12 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:13 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:14 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:15 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:16 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:17 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:18 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:19 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:20 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:21 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:21 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:22 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:22 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:23 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:23 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:24 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:24 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:25 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:25 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:26 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:26 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:27 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:27 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:28 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:28 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:29 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:29 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:30 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:30 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:31 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:31 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:32 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
